,1748,42334,252422
95825450,1827,42332,252122
95826153,1891,42195,252241
95826856,1654,42359,252502
95827557,1741,42410,252554
95828258,1706,42316,252554
95828961,1682,42147,252537
95829663,1785,42550,252518
95830364,1748,42301,252402
95831066,1724,42363,252365
95831768,1877,42398,252453
95832469,1841,42387,252370
95833172,1991,42327,252331
95833875,1699,42209,252465
95834576,1801,42355,252604
95835277,1759,42363,252370
95835980,1679,42382,252313
95836682,1552,42391,252423
95837383,1671,42224,252630
95838085,1927,42230,252187
95838787,1731,42429,252491
95839488,1793,42168,252281
95840191,1791,42423,252491
95840894,1795,42340,252411
95841595,1735,42274,252181
95842296,1811,42514,252385
95842999,2032,42382,252426
95843701,1589,42293,252487
95844402,1672,42218,252800
95845104,1960,42356,252633
95845806,1884,42275,252442
95846508,1767,42196,252761
95847211,2011,42338,252630
95847914,1848,42395,252538
95848615,1623,42141,252416
95849316,1654,42218,252627
95850019,1758,42408,252513
95850722,1784,42326,252479
95851423,1557,42147,252426
95852125,1804,42226,252615
95852827,1654,42444,252638
95853529,1828,42258,252489
95854231,1553,42427,252452
95854933,1644,42282,252473
95855634,1964,42170,252510
95856336,1700,42330,252537
95857039,1747,42433,252492
95857742,1527,42045,252568
95858443,1700,42319,252484
95859146,1695,42344,252665
95859849,1712,42273,252462
95860551,1722,42258,252154
95861252,1740,42228,252667
95861954,1818,42248,252537
95862655,1810,42386,252735
95863357,1735,42346,252678
95864060,1668,42301,252422
95864762,1956,42270,252469
95865463,2090,42249,252373
95866166,1838,42221,252619
95866869,1713,42529,252423
95867571,1541,42385,252514
95868272,1841,42393,252594
95868974,1746,42241,252441
95869676,1526,42398,252619
95870378,1918,42316,252330
95871080,1774,42292,252544
95871782,1806,42245,252316
95872483,1688,42478,252494
95873186,1879,42445,252356
95873889,1676,42303,252266
95874590,1877,42288,252639
95875291,1531,42422,252329
95875994,1530,42127,252628
95876696,1848,42168,252558
95877397,1872,42266,252495
95878099,1708,42172,252579
95878801,1659,42278,252711
95879503,1672,42361,252441
95880206,1779,42205,252514
95880909,1677,42454,252401
95881610,1874,42208,252438
95882311,1575,42339,252165
95883014,1933,42413,252677
95883717,1559,42320,252613
95884418,1820,42419,252559
95885120,1726,42294,252442
95885822,1912,42496,252399
95886524,1484,42294,252475
95887226,1865,42171,252412
95887928,1779,42238,252573
95888629,1688,42197,252497
95889331,1847,42374,252495
95890034,1736,42271,252460
95890737,1708,42190,252518
95891438,1665,42292,252435
95892141,1791,42271,252513
95892844,1728,42262,252174
95893546,1661,42170,252419
95894247,2050,42348,252679
95894949,1711,42346,252529
95895650,1680,42188,252479
95896352,1891,42339,252483
95897055,1757,42382,252353
95897758,1764,42197,252485
95898459,1927,42145,252601
95899161,1780,42262,252478
95899864,1799,42207,252489
95900566,1748,42201,252495
95901267,1777,42190,252694
95901969,1713,42449,252462
95902670,1622,42297,252504
95903372,1694,42366,252554
95904075,1712,42457,252624
95904778,1865,42397,252520
95905479,1886,42038,252505
95906182,1610,42569,252313
95906885,1823,42342,252608
95907587,1677,42246,252590
95908288,1666,42396,252346
95908990,1786,42294,252464
95909691,1695,42505,252566
95910392,1668,42261,252531
95911094,1609,42476,252350
95911796,1776,42437,252722
95912498,1967,42285,252590
95913201,1760,42392,252356
95913903,1756,42165,252349
95914604,1874,42395,252595
95915305,1740,42110,252266
95916008,1798,42269,252516
95916711,1882,42288,252347
95917412,1707,42368,252589
95918114,1596,42462,252716
95918817,1743,42572,252405
95919519,1722,42519,252259
95920221,1864,42370,252591
95920923,1701,42462,252486
95921624,1676,42373,252675
95922325,1711,42278,252290
95923028,1755,42328,252531
95923731,1888,42431,252430
95924432,1785,42294,252631
95925134,1685,42321,252611
95925837,1656,42307,252406
95926539,1699,42393,252651
95927241,1698,42320,252586
95927943,1849,42257,252624
95928644,1790,42441,252353
95929345,1735,42402,252504
95930048,1646,42295,252382
95930751,1825,42371,252541
95931452,1647,42489,253023
95932154,1681,42411,252480
95932857,1866,42223,252685
95933559,1812,42255,252331
95934260,1783,42406,252539
95934962,1801,42487,252555
95935663,1837,42184,252474
95936364,1860,42312,252287
95937067,1824,42258,252696
95937770,1743,42254,252352
95938471,1918,42418,252537
95939173,1925,42490,252453
95939876,1883,42270,252359
95940578,1602,42508,252532
95941279,1705,42383,252298
95941981,1883,42192,252492
95942682,1671,42541,252505
95943384,1653,42368,252356
95944087,1911,42237,252430
95944789,1774,42247,252560
95945490,1681,42329,252406
95946193,1863,42337,252642
95946896,1972,42462,252659
95947597,1814,42239,252326
95948298,1632,42197,252563
95949000,1999,42158,252482
95949702,1498,42288,252515
95950404,1761,42258,252613
95951106,1605,42365,252609
95951808,1805,42225,252288
95952509,1723,42294,252608
95953212,1796,42318,252696
95953915,1905,42270,252773
95954616,1774,42193,252318
95955317,1752,42483,252333
95956020,2010,42376,252432
95956723,1748,42345,252435
95957424,1762,42261,252408
95958126,1798,42219,252640
95958828,2045,42368,252492
95959529,1584,42108,252738
95960231,1645,42287,252378
95960934,1877,42282,252607
95961635,1686,42225,252302
95962336,1876,42219,252610
95963039,2059,42461,252549
95963742,1635,42093,252510
95964444,1607,42276,252383
95965146,1702,42157,252615
95965848,2082,42289,252485
95966549,1763,42405,252495
95967251,1720,42314,252439
95967954,1548,42263,252568
95968655,1761,42326,252642
95969356,1744,42406,252425
95970059,1771,42380,252725
95970762,1838,42374,252780
95971464,1717,42251,252595
95972166,1803,42308,252263
95972868,1915,42165,252794
95973569,1827,42165,252513
95974271,1667,42026,252651
95974974,1732,42331,252460
95975675,1877,42172,252687
95976376,1713,42399,252165
95977079,1968,42269,252226
95977782,1755,42363,252509
95978483,1661,42206,252737
95979185,1633,42300,252370
95979887,1717,42374,252552
95980588,1860,42375,252374
95981290,1641,42275,252579
95981993,1722,42441,252423
95982694,1743,42528,252186
95983395,1821,42205,252506
95984098,1790,42226,252372
95984801,1847,42410,252521
95985502,1734,42477,252704
95986204,1688,42409,252464
95986906,1703,42450,252456
95987607,1762,42310,252281
95988309,1767,42205,252335
95989012,1768,42303,252431
95989714,1857,42562,252392
95990415,1785,42333,252667
95991118,1505,42262,252495
95991821,1692,42330,252318
95992522,1840,42301,252585
95993223,1925,42143,252434
95993925,1904,42312,252505
95994627,1837,42288,252532
95995329,1622,42297,252759
95996032,1720,42153,252568
95996734,2117,42358,252304
95997435,1557,42096,252698
95998138,1815,42246,252264
95998841,1820,42298,252589
95999542,1803,42127,252295
96000243,1756,42451,252479
96000946,1805,42447,252514
96001648,1690,42279,252309
96002350,1543,42317,252399
96003052,1622,42282,252607
96003754,1942,42395,252249
96004455,1834,42293,252182
96005158,1670,42180,252289
96005861,1930,42253,252401
96006562,1734,42250,252606
96007263,1748,42269,252658
96007966,1662,42258,252367
96008668,1839,42303,252484
96009369,1850,42347,252392
96010071,1810,42306,252293
96010773,1774,42600,252633
96011475,1933,42376,252549
96012178,1580,42269,252729
96012881,1653,42530,252717
96013582,1960,42232,252452
96014283,1618,42460,252445
96014986,1816,42338,252651
96015687,1738,42242,252206
96016389,1825,42287,252360
96017091,1991,42216,252597
96017793,1764,42174,252500
96018494,1786,42392,252606
96019197,1733,42229,252459
96019900,1679,42485,252106
96020601,1703,42316,252227
96021302,1815,42334,252313
96022005,1596,42309,252248
96022708,1891,42383,252555
96023410,1604,42138,252516
96024112,1820,42436,252432
96024814,1725,42294,252475
96025515,1797,42230,252410
96026217,1794,42226,252328
96026920,1831,42282,252426
96027621,1698,42333,252553
96028322,1587,42360,252329
96029025,1859,42326,252064
96029728,1854,42307,252437
96030429,1807,42384,252547
96031131,1727,42222,252358
96031833,1952,42446,252393
96032535,1591,42378,252445
96033237,1775,42310,252349
96033939,1616,42314,252493
96034640,1772,42219,252801
96035341,1799,42204,252527
96036044,1776,42303,252406
96036747,1651,42505,252444
96037448,1767,42435,252385
96038150,1845,42359,252097
96038852,1694,42199,252392
96039554,1784,42194,252598
96040256,1751,42140,252550
96040958,1751,42363,252618
96041659,1900,42260,252424
96042360,1672,42363,252527
96043063,1626,42163,252313
96043766,1819,42557,252572
96044467,1853,42168,252604
96045169,1541,42254,252269
96045872,1732,42195,252546
96046574,1828,42398,252163
96047275,1518,42206,252457
96047977,1737,42192,252523
96048678,1618,42333,252593
96049380,2005,42251,252583
96050083,1602,42263,252684
96050786,1706,42314,252505
96051487,1630,42397,252839
96052189,1688,42179,252509
96052892,1730,42319,252450
96053594,1807,42290,252539
96054295,1731,42376,252569
96054997,1704,42282,252320
96055698,1753,42350,252658
96056400,1884,42312,252536
96057103,1890,42140,252343
96057805,1802,42270,252478
96058506,2086,42220,252487
96059209,1776,42390,252698
96059912,1505,42293,252682
96060613,1665,42283,252610
96061314,1903,42144,252687
96062017,1803,42204,252562
96062720,2097,42428,252660
96063422,1932,42328,252576
96064124,1891,42216,252271
96064826,1591,42507,252417
96065527,1703,42428,252424
96066229,1744,42242,252183
96066932,1776,42364,252462
96067633,1900,42293,252669
96068334,1646,42293,252360
96069037,1656,42436,252686
96069740,1728,42339,252397
96070441,1734,42150,252287
96071143,1794,42091,252532
96071845,1784,42289,252304
96072547,2115,42387,252648
96073249,1698,42274,252418
96073952,1661,42397,252259
96074653,1710,42320,252386
96075354,1697,42401,252132
96076057,1674,42420,252484
96076760,1911,42323,252288
96077461,1895,42481,252483
96078163,1814,42399,252459
96078865,1595,42246,252654
96079567,1884,42337,252244
96080269,1608,42352,252369
96080972,1639,42248,252607
96081673,1685,42296,252720
96082374,1743,42281,252677
96083077,1577,42156,252453
96083780,1751,42353,252477
96084481,1955,42343,252419
96085183,1725,42421,252668
96085885,1797,42250,252340
96086587,1779,42346,252616
96087289,1690,42419,252573
96087991,1410,42415,252616
96088692,1728,42284,252272
96089393,1878,42276,252485
96090096,1685,42493,252483
96090799,1751,42288,252429
96091500,1827,42185,252257
96092202,1869,42216,252390
96092905,1742,42382,252322
96093607,1505,42233,252278
96094309,1609,42329,252327
96095011,1800,42266,252361
96095713,1938,42352,252315
96096414,1597,42314,252235
96097117,1827,42369,252538
96097820,1787,42242,252650
96098521,1884,42366,252398
96099222,1863,42278,252685
96099925,1790,42481,252488
96100627,1488,42364,252518
96101328,2001,42307,252315
96102030,1697,42385,252497
96102732,1776,42318,252330
96103434,1786,42325,252203
96104137,1671,42397,252540
96104840,1748,42320,252699
96105541,1690,42176,252438
96106242,1861,42421,252458
96106945,1797,42337,252547
96107647,1821,42527,252344
96108348,1671,42192,252432
96109050,1626,42367,252505
96109752,1662,42192,252389
96110454,1794,42339,252466
96111157,1927,42299,252559
96111860,1949,42288,252264
96112561,1709,42235,252554
96113262,1945,42273,252324
96113965,1735,42330,252273
96114667,1731,42291,252371
96115368,1801,42625,252378
96116070,1828,42233,252610
96116772,1555,42228,252415
96117474,1809,42201,252362
96118177,1766,42258,252669
96118879,1923,42436,252291
96119580,1693,42210,252544
96120281,1806,42318,252428
96120984,1893,42269,252330
96121685,1757,42186,252434
96122386,1743,42315,252425
96123088,1585,42246,252539
96123791,1842,42267,252522
96124493,1741,42328,252504
96125196,1850,42563,252482
96125898,1868,42454,252662
96126599,1560,42109,252493
96127300,1759,42125,252329
96128003,1723,42394,252304
96128706,1906,42277,252567
96129407,1877,42381,252279
96130109,1794,42291,252360
96130812,1824,42494,252311
96131514,1860,42496,252288
96132216,1775,42398,252410
96132918,1720,42441,252421
96133619,1723,42482,252473
96134321,1819,42339,252633
96135024,1724,42418,252483
96135727,1964,42336,252328
96136428,1707,42421,252486
96137130,1600,42330,252705
96137833,1630,42196,252350
96138535,1854,42348,252615
96139237,1657,42274,252585
96139939,1805,42177,252376
96140640,1762,42072,252214
96141342,1685,42414,252434
96142045,1770,42410,252531
96142748,1827,42350,252293
96143449,1697,42239,252570
96144151,1798,42430,252329
96144854,1634,42245,252429
96145556,1743,42405,252714
96146257,1656,42255,252282
96146959,1826,42350,252392
96147660,1766,42255,252509
96148362,1831,42541,252353
96149065,1690,42208,252546
96149768,1984,42299,252392
96150469,1761,42213,252611
96151172,1801,42233,252117
96151875,1724,42281,252527
96152577,1611,42236,252449
96153278,1956,42503,252364
96153980,1911,42415,252419
96154681,1535,42340,252697
96155383,1766,42290,252448
96156085,1758,42378,252520
96156787,1620,42359,252520
96157488,1781,42341,252442
96158191,1586,42198,252744
96158894,1762,42363,252489
96159595,1869,42390,252341
96160296,2072,42409,252643
96160999,1778,42169,252534
96161701,1704,42444,252260
96162403,1690,42255,252759
96163105,1822,42313,252369
96163807,1652,42141,252490
96164508,1701,42177,252357
96165211,1935,42492,252609
96165914,1890,42317,252288
96166615,1770,42221,252392
96167316,1790,42251,252747
96168019,1788,42442,252376
96168722,1645,42314,252678
96169423,1788,42086,252529
96170125,1868,42242,252251
96170827,1895,42320,252635
96171528,1921,42036,252531
96172230,1739,42157,252606
96172933,1828,42182,252415
96173634,1640,42375,252398
96174335,1711,42366,252366
96175038,1705,42432,252399
96175741,1656,42315,252594
96176442,1722,42284,252336
96177144,1936,42203,252595
96177846,1725,42297,252711
96178548,1888,42196,252366
96179250,1675,42354,252462
96179953,1980,42193,252218
96180654,1825,42157,252441
96181355,1657,42259,252666
96182058,1675,42324,252375
96182761,1622,42160,252316
96183462,1742,42299,252343
96184164,1688,42257,252566
96184866,1764,42100,252200
96185568,1694,42344,252460
96186270,1726,42445,252479
96186973,1938,42307,252380
96187674,1683,42111,252190
96188375,1879,42163,252383
96189078,1927,42348,252907
96189781,1549,42099,252843
96190482,1864,42329,252504
96191184,1760,42377,252389
96191886,1878,42241,252353
96192588,1864,42378,252194
96193290,1891,42495,252423
96193993,1845,42423,252428
96194694,1621,42281,252390
96195395,1765,42052,252596
96196098,1823,42350,252450
96196801,1756,42227,252605
96197502,1581,42163,252473
96198204,1774,42363,252519
96198906,1789,42305,252577
96199608,1679,42541,252315
96200310,1819,42095,252603
96201013,1668,42377,252384
96201715,1708,42294,252282
96202416,1599,42357,252275
96203119,1751,42112,252718
96203822,1796,42270,252390
96204523,1894,42348,252070
96205224,1785,42338,252471
96205926,1742,42311,252471
96206627,1767,42378,252617
96207329,1627,42250,252508
96208032,1883,42271,252566
96208734,1712,42319,252600
96209435,1767,42367,252533
96210138,1644,42230,252642
96210841,1905,42270,252442
96211543,1887,42324,252377
96212244,1762,42370,252511
96212946,1839,42302,252300
96213647,1770,42240,252383
96214349,1657,42546,252655
96215052,1736,42150,252397
96215755,1688,42634,252515
96216456,1869,42377,252537
96217158,1650,42237,252505
96217861,1855,42354,252634
96218563,1760,42275,252480
96219265,1686,42254,252348
96219968,2016,42168,252575
96220669,1726,42271,252264
96221370,1827,42432,252369
96222072,1713,42429,252532
96222775,1588,42557,252596
96223477,1880,42279,252354
96224180,1833,42359,252880
96224882,1661,42306,252345
96225583,2034,42316,252298
96226284,1766,42315,252415
96226987,1779,42472,252770
96227689,1822,42410,252546
96228390,1612,42100,252255
96229093,1699,42293,252181
96229796,1567,42408,252341
96230497,1841,42550,252613
96231199,1668,42352,252527
96231901,1723,42270,252210
96232603,1868,42201,252534
96233305,1695,42303,252493
96234008,1567,42345,252651
96234710,1878,42139,252354
96235411,1703,42233,252791
96236114,1863,42333,252488
96236817,1716,42278,252379
96237519,1739,42228,252620
96238220,1898,42312,252630
96238922,1727,42300,252556
96239623,1809,42305,252474
96240324,1819,42399,252550
96241027,1846,42592,252253
96241730,1863,42311,252429
96242431,1746,42288,252635
96243133,1790,42301,252531
96243835,1567,42450,252410
96244537,1782,42119,252618
96245239,1692,42203,252405
96245942,1676,42321,252602
96246643,1656,42350,252550
96247344,1844,42361,252312
96248046,1718,42449,252741
96248749,1842,42237,252539
96249451,1773,42306,252431
96250154,1756,42083,252355
96250856,1933,42336,252302
96251557,1809,42274,252410
96252258,1742,42311,252595
96252961,2099,42411,252531
96253663,1761,42346,252582
96254364,1853,42275,252735
96255066,1726,42312,252249
96255768,1879,42399,252492
96256470,1941,42406,252434
96257173,1800,42385,252564
96257876,1747,42401,252793
96258577,1960,42327,252439
96259278,1362,42138,252253
96259981,1881,42247,252761
96260683,1974,42261,252194
96261385,1975,42268,252325
96262088,1803,42435,252459
96262790,1688,42240,252578
96263491,1770,42390,252666
96264194,1771,42242,252582
96264897,1801,42304,252371
96265599,1829,42158,252414
96266300,1942,42219,252426
96267002,1778,42208,252580
96267705,1932,42189,252773
96268406,1906,42357,252304
96269109,1984,42436,252518
96269812,1768,42207,252390
96270513,1893,42175,252466
96271215,1618,42197,252661
96271917,1745,42229,252384
96272618,1759,42090,252311
96273320,1651,42413,252363
96274023,1670,42393,252369
96274726,1753,42260,252195
96275427,1655,42331,252554
96276129,1740,42379,252657
96276832,1767,42227,252639
96277534,1658,42464,252331
96278235,1749,42397,252302
96278937,1588,42165,252404
96279638,1875,42406,252384
96280340,1571,42311,252655
96281043,1782,42285,252274
96281746,1791,42363,252592
96282447,1731,42131,252364
96283149,1797,42222,252623
96283852,1595,42186,252423
96284554,1402,42295,252432
96285256,1914,42368,252517
96285958,1557,42174,252424
96286659,1763,42393,252407
96287360,1555,42336,252479
96288063,1855,42456,252544
96288766,1663,42291,252691
96289467,1699,42309,252581
96290169,1823,42178,252481
96290871,1823,42275,252529
96291573,1688,42251,252342
96292275,1767,42376,252560
96292978,1938,42437,252457
96293679,1757,42511,252322
96294380,1720,42337,252433
96295083,1942,42267,252468
96295786,1763,42297,252691
96296488,1805,42436,252333
96297190,1747,42348,252483
96297892,1616,42523,252713
96298593,1644,42482,252657
96299295,1937,42165,252546
96299998,1851,42277,252207
96300699,1800,42220,252273
96301400,1809,42384,252711
96302102,1894,42194,252491
96302804,1746,41964,252343
96303506,1778,42257,252319
96304209,1862,42275,252492
96304912,1650,42274,252233
96305613,1837,42293,252397
96306314,1659,42307,252610
96307017,1652,42400,252337
96307720,1733,42210,252383
96308422,1795,42116,252708
96309125,1675,42241,252569
96309827,1742,42254,252448
96310528,1847,42180,252597
96311229,1938,42255,252335
96311932,1937,42427,252626
96312634,1801,42383,252626
96313335,1551,42334,252501
96314037,1831,42294,252606
96314739,1896,42174,252284
96315441,1743,42366,252574
96316144,1849,42355,252694
96316847,1882,42326,252516
96317548,1931,42371,252294
96318249,1994,42197,252369
96318952,1872,42473,252145
96319654,1718,42359,252355
96320356,1864,42393,252536
96321059,1877,42349,252561
96321761,1910,42244,252595
96322462,1716,42532,252364
96323165,1817,42557,252596
96323868,1818,42266,252630
96324570,1640,42433,252325
96325271,1848,42469,252557
96325973,1807,42106,252683
96326674,1656,42363,252399
96327376,1819,42391,252581
96328079,1782,42302,252357
96328782,1864,42263,252441
96329483,1563,42399,252734
96330185,1841,42177,252656
96330888,1773,42181,252630
96331590,1726,42163,252492
96332292,1844,42171,252645
96332994,1840,42203,252253
96333695,1733,42307,252347
96334396,1877,42297,252542
96335099,1731,42097,252389
96335802,1699,42228,252644
96336503,1621,42372,252465
96337205,1476,42282,252333
96337907,1882,42374,252378
96338609,1680,42296,252745
96339311,1782,42522,252647
96340013,1548,42394,252736
96340715,1841,42292,252411
96341416,1838,42579,252556
96342119,1859,42216,252344
96342822,1657,42184,252569
96343523,1814,42127,252441
96344224,1795,42233,252425
96344927,1828,42218,252330
96345628,1688,42326,252578
96346329,1767,42050,252574
96347031,1873,42230,252357
96347734,2000,42174,252368
96348436,1822,42359,252470
96349138,1825,42260,252644
96349840,1898,42423,252795
96350541,1869,42420,252631
96351243,1844,42426,252575
96351946,1666,42299,252458
96352647,1565,42294,252651
96353348,1892,42350,252333
96354051,1865,42488,252219
96354754,1570,42316,252404
96355455,1688,42457,252347
96356157,1754,42262,252567
96356860,1792,42230,252649
96357562,1772,42248,252547
96358263,1774,42521,252783
96358965,1775,42417,252374
96359667,1875,42371,252652
96360369,1679,42265,252551
96361072,1767,42215,252180
96361774,1666,42414,252560
96362475,1869,42347,252274
96363178,1736,42276,252357
96363881,1683,42089,252394
96364582,1775,42224,252532
96365283,1649,42408,252451
96365986,1555,42252,252344
96366688,1761,42303,252448
96367390,1733,42265,252234
96368093,1727,42109,252253
96368795,1809,42256,252356
96369496,1808,42505,252291
96370199,1931,42413,252629
96370902,1788,42348,252541
96371603,1612,42303,252294
96372304,1715,42248,252591
96373007,1933,42492,252485
96373710,1750,42220,252294
96374411,1816,42237,252537
96375113,1752,42159,252684
96375815,1641,42456,252515
96376516,1674,42336,252533
96377218,1596,42372,252470
96377921,1756,42241,252557
96378622,1700,42123,252783
96379323,1824,42420,252610
96380026,1632,42372,252473
96380729,1728,42285,252338
96381430,1635,42192,252406
96382132,1791,42298,252444
96382834,1905,42251,252438
96383536,1654,42229,252430
96384238,2080,42478,252638
96384941,1804,42309,252188
96385642,1703,42078,252510
96386343,1791,42349,252360
96387046,1731,42233,252267
96387749,1582,42122,252689
96388450,1696,42298,252735
96389152,1832,42215,252583
96389855,1864,42356,252550
96390557,1794,42215,252641
96391259,1851,42233,252468
96391961,1446,42262,252694
96392662,1686,42285,252709
96393363,1797,42477,252484
96394066,1680,42279,252448
96394769,1715,42453,252397
96395470,1743,42374,252693
96396172,1989,42332,252379
96396875,1756,42207,252710
96397577,1824,42481,252686
96398279,1680,42309,252322
96398981,1727,42386,252694
96399682,1720,42368,252497
96400384,1884,42306,252560
96401086,1721,42321,252509
96401788,1825,42179,252484
96402489,1780,42464,252553
96403192,1782,42357,252572
96403895,1624,42553,252477
96404596,1766,42197,252812
96405297,1624,42167,252429
96406000,1775,42284,252316
96406702,1711,42301,252414
96407404,1698,42252,252738
96408106,1862,42360,252714
96408808,1572,42067,252478
96409509,1924,42279,252663
96410212,1592,42191,252347
96410915,1834,42148,252239
96411616,1631,42289,252376
96412317,1794,42266,252473
96413020,1490,42301,252232
96413723,1688,42351,252883
96414424,1752,42426,252794
96415126,1806,42390,252533
96415828,1640,42248,252555
96416530,1536,42247,252582
96417232,1721,42090,252417
96417935,1519,42282,252621
96418636,1549,42137,252573
96419337,2036,42258,252133
96420040,1942,42396,252584
96420743,1830,42359,252563
96421444,1677,42381,252164
96422146,1842,42132,252362
96422848,1836,42300,252681
96423550,1806,42213,252377
96424252,2032,42361,252379
96424954,1819,42325,252565
96425655,1980,42310,252564
96426356,1661,42231,252474
96427059,1769,42422,252519
96427762,1835,42239,252550
96428463,1805,42490,252277
96429165,1841,42282,252437
96429868,1779,42360,252552
96430570,1772,42278,252485
96431272,1698,42233,252486
96431974,1669,42405,252601
96432675,1688,42226,252675
96433377,1683,42211,252357
96434080,1805,42458,252348
96434783,1636,42271,252545
96435484,1648,42410,252256
96436186,1914,42370,252389
96436889,1728,42284,252672
96437591,1828,42289,252306
96438292,1856,42404,252345
96438994,1845,42170,252332
96439695,1655,42304,252374
96440397,1960,42339,252757
96441100,1737,42282,252596
96441802,1766,42489,252390
96442503,1761,42399,252277
96443206,1717,42334,252801
96443909,2084,42014,252258
96444611,1865,42368,252531
96445312,1924,42062,252612
96446014,2139,42386,252767
96446716,1708,42396,252786
96447418,1753,42391,252419
96448121,1592,42397,252473
96448823,1716,42298,252151
96449524,1834,42205,252480
96450225,1814,42332,252235
96450928,1817,42269,252314
96451629,1610,42157,252287
96452330,1862,42281,252747
96453032,1748,42582,252623
96453735,1765,42485,252459
96454437,1963,42352,252399
96455140,1716,42268,252392
96455842,1710,42159,252608
96456543,1866,42305,252376
96457244,1929,42436,252399
96457947,1885,42354,252479
96458648,1859,42373,252574
96459349,1699,42216,252371
96460051,1827,42501,252420
96460754,1981,42325,252632
96461456,1744,42326,252331
96462159,1793,42261,252555
96462861,1692,42207,252865
96463562,1643,42404,252674
96464264,1576,42552,252444
96464967,1879,42346,252412
96465668,1801,42324,252223
96466369,1897,42463,252398
96467072,1692,42216,252399
96467775,1671,42293,252707
96468477,1557,42456,252663
96469179,1879,42337,252488
96469881,1724,42382,252717
96470582,1820,42307,252234
96471284,1812,42280,252477
96471987,1675,42438,252628
96472688,1682,42478,252668
96473389,1787,42344,252396
96474092,1775,42174,252313
96474795,1649,42193,252466
96475496,1755,42317,252230
96476198,1712,42274,252285
96476901,1791,42383,252680
96477603,1804,42277,252548
96478305,1937,42296,252446
96479007,1922,42259,252737
96479709,1880,42140,252527
96480410,1621,42301,252380
96481113,1763,42305,252368
96481816,1903,42240,252495
96482517,1948,42266,252702
96483218,1735,42220,252710
96483921,1765,42479,252347
96484623,1712,42473,252559
96485324,1735,42152,252541
96486026,1891,42325,252398
96486728,1743,42258,252622
96487429,1850,42239,252381
96488132,2087,42401,251987
96488835,1769,42254,252309
96489536,1951,42177,252444
96490237,1838,42411,252624
96490940,1746,42312,252306
96491642,1707,42321,252257
96492344,1886,42257,252236
96493046,1761,42418,252759
96493748,1783,42387,252641
96494449,1746,42082,252416
96495152,1753,42381,252338
96495855,1649,42388,252478
96496556,1995,42543,252251
96497257,1909,42293,252572
96497960,1896,42293,252546
96498662,1952,42214,252295
96499363,1994,42320,252640
96500065,1830,42420,252501
96500767,1738,42240,252400
96501469,1854,42404,252700
96502172,1550,42200,252551
96502875,1680,42455,252462
96503576,1659,42233,252516
96504277,1892,42433,252692
96504980,1924,42352,252505
96505681,1913,42554,252506
96506383,1746,42327,252397
96507085,1995,42247,252131
96507787,1828,42233,252278
96508488,1936,42423,252465
96509191,1757,42296,252294
96509894,1782,42354,252451
96510595,1741,42350,252762
96511296,1733,42301,252409
96511999,1726,42303,252687
96512701,1847,42243,252516
96513403,1857,42252,252515
96514105,1670,42323,252492
96514807,1701,42268,252330
96515508,1731,42278,252339
96516211,1738,42426,252363
96516914,1711,42343,252530
96517615,1829,42449,252462
96518316,1905,42341,252564
96519019,1877,42264,252353
96519722,1792,42272,252549
96520423,1808,42465,252527
96521125,1703,42369,252758
96521827,1757,42497,252628
96522528,1578,42236,252477
96523230,1671,42427,252353
96523933,1699,42295,252458
96524634,2080,42167,252731
96525335,1573,42275,252473
96526038,1753,42326,252650
96526741,1883,42396,252588
96527442,1822,42402,252609
96528144,1668,42291,252668
96528846,1886,42292,252340
96529548,1598,42197,252625
96530250,1658,42249,252381
96530953,1788,42217,252375
96531654,1917,42377,252597
96532355,1818,42171,252523
96533058,1944,42296,252480
96533761,1822,42383,252313
96534462,1717,42348,252488
96535164,1676,42374,252473
96535866,1656,42239,252396
96536568,1782,42432,252612
96537270,1818,42418,252743
96537973,1711,42286,252484
96538674,2029,42442,252476
96539375,1758,42275,252266
96540078,1661,42262,252343
96540781,1913,42392,252400
96541482,1765,42280,252492
96542184,1730,42284,252494
96542886,1652,42211,252480
96543588,1747,42427,252552
96544290,1839,42692,252529
96544993,1694,42247,252602
96545694,1708,42455,252442
96546395,1540,42459,252614
96547098,1862,42142,252372
96547801,1609,42376,252621
96548502,1756,42361,252531
96549204,1904,42413,252427
96549906,1812,42315,252492
96550608,1760,42421,252743
96551310,1734,42274,252340
96552013,1777,42225,252231
96552715,1671,42282,252608
96553416,1468,42129,252572
96554119,1721,42317,252590
96554822,1780,42389,252417
96555523,1812,42222,252509
96556224,1844,42248,252350
96556926,1578,42244,252441
96557628,1634,42165,252675
96558330,1533,42197,252706
96559033,1525,42197,252268
96559735,1838,42095,252480
96560436,1745,42325,252577
96561139,1823,42498,252379
96561842,1650,42424,252601
96562543,1932,42197,252874
96563244,1905,42292,252396
96563946,2011,42220,252481
96564648,1686,42475,252216
96565350,1772,42334,252707
96566052,1796,42337,252442
96566754,1738,42391,252569
96567455,1678,42273,252290
96568158,1884,42215,252416
96568861,1864,42345,252514
96569562,1885,42266,252362
96570263,1651,42355,252321
96570965,1803,42321,252520
96571667,1806,42225,252659
96572369,1910,42341,252478
96573072,1650,42414,252681
96573774,1899,42307,252596
96574475,1731,42308,252581
96575178,1720,42290,252573
96575881,1948,42213,252654
96576582,1883,42350,252459
96577283,1820,42375,252675
96577985,1815,42289,252398
96578687,1911,42262,252579
96579388,1661,42340,252660
96580090,1796,42523,252383
